case_id,root,initial_phase,world,mechanics,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
35,2600000,4,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,4,4,13c34e4bfe54069b3a783bbc83346ac472bdad4cbf150dbeaa07c59bef6b0e6c,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
35,2600000,4,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,4,4,13c34e4bfe54069b3a783bbc83346ac472bdad4cbf150dbeaa07c59bef6b0e6c,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
36,2600000,5,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,5,5,99c1f78659c79d631ac7dafb7a181c2971ea3cabcf5f1281602719dc5904d537,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
36,2600000,5,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,5,5,99c1f78659c79d631ac7dafb7a181c2971ea3cabcf5f1281602719dc5904d537,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
37,2600000,6,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,6,6,aac0769848f1222e036ff56078365df227044c19cd2794f6b49c29e9720926df,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
37,2600000,6,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,6,6,aac0769848f1222e036ff56078365df227044c19cd2794f6b49c29e9720926df,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
38,2600000,7,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,7,7,1f1e25505432bc3589e6ffae1decb9ce6a8ccab3f6ebc3899ff67508bd11b8b6,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
38,2600000,7,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,7,7,1f1e25505432bc3589e6ffae1decb9ce6a8ccab3f6ebc3899ff67508bd11b8b6,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
39,2600000,8,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,8,8,4ffadf1e1408e1b44941dffa7174c17c1828a32c57bc1001456f4b684f172d5e,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
39,2600000,8,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,8,8,4ffadf1e1408e1b44941dffa7174c17c1828a32c57bc1001456f4b684f172d5e,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
40,2600000,9,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,9,9,72c62ed69f4fe2174d9c8b9fdbdc8074d6fad8a6e5617351d05823492c4bd06c,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
40,2600000,9,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,9,9,72c62ed69f4fe2174d9c8b9fdbdc8074d6fad8a6e5617351d05823492c4bd06c,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
41,2500000,0,expired_participation,reference,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1024,4,5b1777986c3aa5f5b3733f524a05ea1a9c768b89c7790cc4dcfa665c98de2d5e,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
41,2500000,0,expired_participation,production,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1024,4,5b1777986c3aa5f5b3733f524a05ea1a9c768b89c7790cc4dcfa665c98de2d5e,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
42,2500000,1,expired_participation,reference,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1025,5,d04899f6a2fc01a2bf95c96fdbdb85e91510deff1d77e129968002a9ef9b2109,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
42,2500000,1,expired_participation,production,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1025,5,d04899f6a2fc01a2bf95c96fdbdb85e91510deff1d77e129968002a9ef9b2109,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
43,2500000,2,expired_participation,reference,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1026,6,4e1150ee7911730ef5eb0e219b8d233ee098992a00923032e95e1c469950100c,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
43,2500000,2,expired_participation,production,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1026,6,4e1150ee7911730ef5eb0e219b8d233ee098992a00923032e95e1c469950100c,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
44,2500000,3,expired_participation,reference,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1027,7,fbe2407943956212a213bbf730d0dfcafc148c29edf57a98724c8e7d8da14fe6,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
44,2500000,3,expired_participation,production,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1027,7,fbe2407943956212a213bbf730d0dfcafc148c29edf57a98724c8e7d8da14fe6,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
45,2500000,4,expired_participation,reference,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1028,8,aa9b59633266dd8bdff4ecf84838fe88eee20ea843980e599dd5ac90f04b8503,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
45,2500000,4,expired_participation,production,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1028,8,aa9b59633266dd8bdff4ecf84838fe88eee20ea843980e599dd5ac90f04b8503,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
46,2500000,5,expired_participation,reference,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1029,9,b76a2c80a77d30450070d571f07a3ac9bcbec43041f83ee1695a889d7acc3950,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
46,2500000,5,expired_participation,production,0|0,0|0,qualified,1,0,4,6,5,1,0,0,1029,9,b76a2c80a77d30450070d571f07a3ac9bcbec43041f83ee1695a889d7acc3950,34972952f644f5f0cd99af3efdccf39ac63fb032d2410c55a36547d6a82196ad,1,1
