case_id,root,initial_phase,scenario,mechanics,a_updates,b_updates,a_initial_resistance,a_final_resistance,a_initial_coupling,a_final_coupling,a_live,b_initial_resistance,b_final_resistance,b_initial_coupling,b_final_coupling,b_live,drive_deliveries,modulatory_deliveries,fires,eligible,resistance_events,proposals,deallocations,crossings,ca_fires,physical_work,final_tick,pressure_phase,trace_hash,body_hash,quiescent
34,1300000,3,old_source_local,production,1,1,4,7,1,2,1,4,7,1,2,1,4,1,2,3,2,0,0,0,1,7,3,3,581072010738e86236de7b07507d9a7f50cffcff9be1b572155f03d88f718b16,87cb30fff54b84ea1371524398dee4056b80877e29d3caf01e001d71f4ce4c86,1
35,1300000,3,c0_contact_a,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,3,3,a814dcdffe7b36635087ec89970df6748a1497b8ba3bfa05100a1c5f88d34893,d1d437b0e07644b1a7975845715c4a33c735c803d8408d025a455487879ad8de,1
35,1300000,3,c0_contact_a,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,3,3,a814dcdffe7b36635087ec89970df6748a1497b8ba3bfa05100a1c5f88d34893,d1d437b0e07644b1a7975845715c4a33c735c803d8408d025a455487879ad8de,1
36,1300000,3,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,2,1,6,1,4,5,1,0,0,0,1,8,3,3,69cf84ffa4514f096a0462df74bffdd99bf0a578ba96bd2511116d60169b5d9f,d50ce135c3ff893ef7a6988f06a36535e3857e69aa484b11e101928e2a9389a6,1
36,1300000,3,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,2,1,6,1,4,5,1,0,0,0,1,8,3,3,69cf84ffa4514f096a0462df74bffdd99bf0a578ba96bd2511116d60169b5d9f,d50ce135c3ff893ef7a6988f06a36535e3857e69aa484b11e101928e2a9389a6,1
37,1300000,3,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,2,0,0,0,0,0,4,3,3,5cfc90de797c90078df796a518bbceee34d5434d82a172f5902598ab58030021,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
37,1300000,3,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,2,0,0,0,0,0,4,3,3,5cfc90de797c90078df796a518bbceee34d5434d82a172f5902598ab58030021,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
38,1300000,3,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,5,0,0,0,0,2,7,4,4,34a236ca17272828253b51e22f8ac542b33dcc8e7a53e8d36bcdad1f32c5f532,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
38,1300000,3,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,5,0,0,0,0,2,7,4,4,34a236ca17272828253b51e22f8ac542b33dcc8e7a53e8d36bcdad1f32c5f532,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
39,1300000,3,c4_late_modulation,reference,0,0,4,3,1,1,1,4,3,1,1,1,6,1,4,5,0,0,0,0,1,7,8,8,bbd83941dfd74ed22706bd1f9379c74cbbc5cc48d6e20efacd22fb5c15929e1f,e7a65902d75b4f15f6fd014033a754eaa271088dda2b11f8f7d2c7fa0116d9a7,1
39,1300000,3,c4_late_modulation,production,0,0,4,3,1,1,1,4,3,1,1,1,6,1,4,5,0,0,0,0,1,7,8,8,bbd83941dfd74ed22706bd1f9379c74cbbc5cc48d6e20efacd22fb5c15929e1f,e7a65902d75b4f15f6fd014033a754eaa271088dda2b11f8f7d2c7fa0116d9a7,1
40,1300000,3,c5_dense_distractors,reference,1,0,4,7,1,2,1,4,4,1,1,1,71,1,37,38,1,0,0,0,2,73,4,4,48b1285e517a06a40f3522dd4c789f0768cc2056a395bf4edf982484f6678322,424ef684bacee341c7b6c52e6b63bcdd832c81fe8e3eeaefab6291612a650687,1
40,1300000,3,c5_dense_distractors,production,1,0,4,7,1,2,1,4,4,1,1,1,71,1,37,38,1,0,0,0,2,73,4,4,48b1285e517a06a40f3522dd4c789f0768cc2056a395bf4edf982484f6678322,424ef684bacee341c7b6c52e6b63bcdd832c81fe8e3eeaefab6291612a650687,1
41,1300000,3,c6_swapped_identity,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,3,3,218b1533197d4ebf37e385c81b79df8e9f571c18bb595bb671908ee9feaf8c77,109765f99c9247a430403d1e4412e84d38298f876d11083932cf81b0bfdf2d7b,1
41,1300000,3,c6_swapped_identity,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,3,3,218b1533197d4ebf37e385c81b79df8e9f571c18bb595bb671908ee9feaf8c77,109765f99c9247a430403d1e4412e84d38298f876d11083932cf81b0bfdf2d7b,1
