seed,mirror,reverse_cells,reverse_arrows,spacing,world,namespace,initial_fingerprint,after_trigger_fingerprint,trigger_firings,b_firings,closure_firings,transient_firings,output_firings,positive_arrivals,negative_arrivals,negative_tick,closure_tick,output_tick,trigger_quiescent,final_quiescent,deallocations,complete_fingerprint,permanent_fingerprint,work,storage,duplicate_exact,passed
13,true,false,true,14,b-tick-3-after-output,0x64e400000,0x55df7d91221e45ff,0x1b9c452bd1e07ba2,1,1,1,1,1,2,1,3,2,2,true,true,0,0x9249fd03e682eadb,0xf36e41542191ae22,66,496,true,true
13,true,false,true,14,b-blocked,0x64e500000,0x8e4cea90044fbfbe,0xedacd0692913078f,1,1,1,1,1,2,0,-1,2,2,true,true,0,0xd1c447b2f8dbed2e,0x3ddb09428eb9077e,56,496,true,true
13,true,false,true,14,b-stale,0x64e600000,0x4c827805ad3ef6a4,0x2d9741c94c8a6f15,1,1,1,1,1,2,0,-1,2,2,true,true,1,0xe7e231b78ca41d41,0xcf70c1ff89c0ffa3,71,496,true,true
14,false,true,true,14,b-absent-through-closure,0x64f000000,0x25087552b28207e8,0xcd6572e957b73c6d,1,0,1,1,1,2,0,-1,2,2,true,true,0,0xa5b0eda27d094cd5,0x2b05d1a0cc2aa498,46,496,true,true
14,false,true,true,14,b-tick-1-after-trigger,0x64f100000,0x5b26d4a8b1a6cf98,0x28d7458184ec663d,1,1,1,0,0,2,1,1,2,-1,true,true,0,0xa8f2640b70e041f7,0x1245261175a80aa8,47,496,true,true
14,false,true,true,14,b-tick-2-before-closure,0x64f200000,0x89701de2942c2f03,0xd46c2d0d1062907a,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x92405284678eaa19,0x188e111b4fad7c33,48,496,true,true
14,false,true,true,14,b-tick-2-after-closure,0x64f300000,0xcd1a2c51b4f3dc58,0xd9b01a7f56c509f1,1,1,1,1,1,2,1,2,2,2,true,true,0,0xab07cb9e59f3d9cc,0x6b28d17900c385d1,66,496,true,true
14,false,true,true,14,b-tick-3-after-output,0x64f400000,0x25eab2dcfb96f8b2,0x2e06a94e6789de77,1,1,1,1,1,2,1,3,2,2,true,true,0,0x3c3574bbb4d775fa,0x937bb8c01410cb9f,66,496,true,true
14,false,true,true,14,b-blocked,0x64f500000,0xd827e75caf74026b,0x64d5be09f39244fa,1,1,1,1,1,2,0,-1,2,2,true,true,0,0x70bc6683c24f563f,0xe06e33ffcc8d663b,56,496,true,true
14,false,true,true,14,b-stale,0x64f600000,0xc32831c7b2870aed,0x3d0aa7577b99d8e4,1,1,1,1,1,2,0,-1,2,2,true,true,1,0x4fd06bd6b0add92c,0x8dc1ebf139ad0c46,71,496,true,true
15,true,true,true,14,b-absent-through-closure,0x650000000,0x470f3f2bd4a23ecf,0xa37f1bafdccd0432,1,0,1,1,1,2,0,-1,2,2,true,true,0,0x1deac4199748eb6a,0x63b4eb1f2a9ef4af,46,496,true,true
15,true,true,true,14,b-tick-1-after-trigger,0x650100000,0xdfbad00a8f1a139f,0x3e65f375b74b4b82,1,1,1,0,0,2,1,1,2,-1,true,true,0,0x8feaa1922cae30e0,0x77e14dab50f1ba9f,48,496,true,true
15,true,true,true,14,b-tick-2-before-closure,0x650200000,0x85235fcfe813e20c,0x3cfba0e1d46a52d,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x6879622ffbbe6e36,0x9bb0fa5e237bfaac,48,496,true,true
15,true,true,true,14,b-tick-2-after-closure,0x650300000,0x16fcf211e7268aa3,0x335ca55208c0f6a,1,1,1,1,1,2,1,2,2,2,true,true,0,0x7e85cde790dd9c4b,0xcb2d3e0c8456d86,66,496,true,true
15,true,true,true,14,b-tick-3-after-output,0x650400000,0xf6737fa8f3b83131,0xb97ccd7cdf3a77cc,1,1,1,1,1,2,1,3,2,2,true,true,0,0x48f60115f8948cad,0x30d426ab74e44048,66,496,true,true
15,true,true,true,14,b-blocked,0x650500000,0xc1b977e967c2074c,0xb5d177891bffe2d,1,1,1,1,1,2,0,-1,2,2,true,true,0,0x7f5f8407a436f6a0,0x5f340a342e900e0c,57,496,true,true
15,true,true,true,14,b-stale,0x650600000,0x78759e1e7f378286,0x76776c1f00e8d347,1,1,1,1,1,2,0,-1,2,2,true,true,1,0xa42f04880d563317,0x962fcfdc72f21b25,71,496,true,true
