stage,seed,productive_route,maturation,schedule,budget,realized_0,realized_1,returned_0,returned_1,live_0,live_1,m6_obs_0,m6_obs_1,m6_support_0,m6_support_1,m6_margin_0,m6_margin_1,m6_eligible_0,m6_eligible_1,m5_support_0,m5_support_1,m5_rejection_0,m5_rejection_1,m5_score_0,m5_score_1,abstentions,applications,independent_0,independent_1,edge,reversed
MICRO,1710000000,0,192,E0-B-only,0,0,0,0,0,4,1,192,0,192,0,192,0,true,false,189,0,0,0,189,0,3,189,8,0,execution edge,false
MICRO,1710000000,0,192,E0-B-only,4,0,4,0,4,4,1,192,4,192,4,192,4,true,true,189,0,0,3,189,-3,4,192,8,0,credit edge,false
MICRO,1710000000,0,192,E0-B-only,16,0,16,0,16,4,1,192,16,192,16,192,16,true,true,189,0,0,3,189,-3,16,192,8,0,credit edge,false
MICRO,1710000000,0,192,E0-B-only,64,0,64,0,64,4,1,192,64,192,64,192,64,true,true,189,0,0,3,189,-3,64,192,8,0,credit edge,false
MICRO,1710000000,0,192,E0-B-only,1024,0,1024,0,1024,4,1,192,1024,192,1024,192,1024,true,true,189,0,0,3,189,-3,1024,192,8,0,credit edge,false
MICRO,1710000000,0,192,E0-B-only,10000,0,10000,0,10000,4,1,192,10000,192,10000,192,10000,true,true,189,0,0,3,189,-3,10000,192,8,0,credit edge,false
MICRO,1710000000,0,192,E0-B-only,60000,0,60000,0,60000,4,1,192,60000,192,60000,192,60000,true,true,189,0,0,3,189,-3,60000,192,8,0,credit edge,false
MICRO,1710000000,0,192,E1-paired,0,0,0,0,0,4,1,192,0,192,0,192,0,true,false,189,0,0,0,189,0,3,189,8,0,execution edge,false
MICRO,1710000000,0,192,E1-paired,4,4,4,4,4,4,1,196,4,192,4,190,4,true,true,192,0,0,3,192,-3,5,195,8,0,credit edge,false
MICRO,1710000000,0,192,E1-paired,16,16,16,16,16,4,1,208,16,192,16,184,16,true,true,192,0,0,3,192,-3,29,195,8,0,credit edge,false
MICRO,1710000000,0,192,E1-paired,64,64,64,64,64,4,1,256,64,192,64,160,64,true,true,192,0,0,3,192,-3,125,195,8,0,credit edge,false
MICRO,1710000000,0,192,E1-paired,1024,1024,1024,1024,1024,4,4,1216,1024,512,1024,0,1024,false,true,192,643,644,3,-452,640,758,1482,4,4,none,false
