row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
f4-transfer-s101-m0-r0-t2-c2-l0-d1-tr0-a2,probe,timing_transfer,3212609432144688644,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d2-tr0-a2,probe,timing_transfer,8580736107380472034,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d3-tr0-a2,probe,timing_transfer,13269872629537853456,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d4-tr0-a2,probe,timing_transfer,15049619058110709482,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d5-tr0-a2,probe,timing_transfer,15120954328501593916,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d-1-tr2-a2,probe,timing_transfer,203807550779848570,1,1,false,false,false,false,false,37,31,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d0-tr2-a2,probe,timing_transfer,6502192241887313137,1,1,false,false,false,true,true,35,30,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d1-tr2-a2,probe,timing_transfer,16310418509336498708,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d2-tr2-a2,probe,timing_transfer,12965783042985026398,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d3-tr2-a2,probe,timing_transfer,1578268782040832752,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d4-tr2-a2,probe,timing_transfer,846169682311371510,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d5-tr2-a2,probe,timing_transfer,7559741282680151196,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d-1-tr4-a2,probe,timing_transfer,13183961245897708658,1,1,false,false,false,false,false,37,31,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d0-tr4-a2,probe,timing_transfer,4972304179515755197,1,1,false,false,false,true,true,35,30,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d1-tr4-a2,probe,timing_transfer,17530121293078091068,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d2-tr4-a2,probe,timing_transfer,16317480517036413586,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d3-tr4-a2,probe,timing_transfer,9036637183537660712,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d4-tr4-a2,probe,timing_transfer,12412882278317805330,1,0,true,false,false,false,true,34,18,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d5-tr4-a2,probe,timing_transfer,409065596982912068,1,0,true,false,false,false,true,34,18,272,272,true,true
