row_type,protocol,stage,claim_eligible,M6_authoritative,M7_exists,family,condition,variant,target,target_supporters,competitor_supporters,winner,expected_winner,commitment_tick,duplicate_exact,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,status,classification
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,just_before,fresh_alloc_layout,1,5,4,1,1,6,true,a80d7b38ca3aeb54,760041f6d6bf9323,57c6e47d9a8db606,8675c9364913e32c,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,threshold_before,fresh_alloc_layout,1,5,4,1,1,7,true,aa02e287870679cb,4e4b6324facd393c,ea6b5980e15114f0,877c7f27a2ee3f17,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,threshold_after,fresh_alloc_layout,1,5,4,0,0,7,true,ea71e2aa7c6ef00c,dbcfad0eab1a56eb,84471d747215bf2c,bcdad020d7041d28,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,just_after,fresh_alloc_layout,1,5,4,0,0,7,true,ac5e2288aba3d7ef,e64f88bde92ad6e0,5913977456f3b0ee,b665bfb5ef9d757b,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,well_after,fresh_alloc_layout,1,5,4,0,0,7,true,10a87d5f66511778,7997c6768a6e4627,4bf0b7a428aaa982,c9ac5ddd26ea1197,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,zero,fresh_alloc_layout,1,4,4,0,0,7,true,5b2a71253c648fc2,9daa4060d10fe7d9,cd2f336bb9c72ae1,193325c27ec2d72f,387,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,one_early,fresh_alloc_layout,1,5,4,1,1,6,true,ab5a96c722743b85,b168b368812cc4c6,8a7e0b93924c670a,66a98752737263b1,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,two_early,fresh_alloc_layout,1,6,4,1,1,6,true,613d642c086f1fe7,af4deceb9f919da2,0a81b6b0d5e51204,f9a59f87f0a5b6d6,543,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,one_late,fresh_alloc_layout,1,5,4,0,0,7,true,b70e21b8522588d9,8534726d5297e07a,146e61467d4fef80,242920def07d0cd7,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,two_late,fresh_alloc_layout,1,6,4,0,0,7,true,43f06e59025f5073,48d5c99c81271256,5316fe12d149b7ba,4f0c253f2ae6f351,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,unit_early,fresh_alloc_layout,1,5,4,1,1,6,true,ab5a96c722743b85,b168b368812cc4c6,8a7e0b93924c670a,66a98752737263b1,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,double_early,fresh_alloc_layout,1,5,4,1,1,6,true,96a0e147b455f64c,811cc5c1e0dd45e7,dadb5e0dfbb82ecf,a8633d686a958c75,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,unit_late,fresh_alloc_layout,1,5,4,0,0,7,true,b70e21b8522588d9,8534726d5297e07a,146e61467d4fef80,242920def07d0cd7,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,double_late,fresh_alloc_layout,1,5,4,0,0,7,true,a2546c38e40743a0,9584cea38071a43b,2e6ad2468c07eb81,ddef6e64b267f70f,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,spread_early,fresh_alloc_layout,1,6,4,1,1,6,true,ad72f8724f2e6bac,04348e7024dcdb59,b312dc39302d180a,8d2a6dd4e98f84c5,541,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,near_early,fresh_alloc_layout,1,6,4,1,1,6,true,613d642c086f1fe7,af4deceb9f919da2,0a81b6b0d5e51204,f9a59f87f0a5b6d6,543,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,coincident_early,fresh_alloc_layout,1,6,4,1,1,6,true,6cf1ab6bab5ea380,bb4f1fcf36fea14d,7d9f9bcba9763196,96d0d1f136242e79,544,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
