stage,seed,control,maturity,ratio,phase_offset,budget,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,unresolved,m6_obs_incumbent,m6_obs_alternative,m6_support_incumbent,m6_support_alternative,m6_margin_incumbent,m6_margin_alternative,m6_eligible_incumbent,m6_eligible_alternative,m5_support_incumbent,m5_support_alternative,m5_rejection_incumbent,m5_rejection_alternative,m5_score_incumbent,m5_score_alternative,live_incumbent,live_alternative,abstentions,applications,independent_side0,independent_side1,class,schedule_exact,exposure_transferred,duplicate_exact
PROBE,1900000001,baseline,0,4:1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
PROBE,1900000001,baseline,0,4:1,0,90,1,0,1,18,72,18,72,18,72,0,18,72,8,72,3,72,true,true,0,25,6,0,-6,25,1,4,59,31,4,0,ALTERNATIVE,true,true,true
PROBE,1900000001,baseline,0,4:1,0,900,1,0,1,180,720,180,720,180,720,0,180,720,48,720,1,720,false,true,0,365,91,0,-91,365,1,4,444,456,4,0,ALTERNATIVE,true,true,true
PROBE,1900000001,baseline,0,4:1,0,4500,1,0,1,900,3600,900,3600,900,3600,0,900,3600,225,3600,0,3600,false,true,0,1429,357,0,-357,1429,1,4,2714,1786,4,0,ALTERNATIVE,true,true,true
PROBE,1900000001,baseline,0,4:1,0,9000,1,0,1,1800,7200,1800,7200,1800,7200,0,1800,7200,451,7200,1,7200,false,true,0,2873,718,0,-718,2873,1,4,5409,3591,4,0,ALTERNATIVE,true,true,true
PROBE,1900000001,baseline,0,4:1,0,18000,1,0,1,3600,14400,3600,14400,3600,14400,0,3600,14400,902,14400,1,14400,false,true,0,5701,1425,0,-1425,5701,1,4,10874,7126,4,0,ALTERNATIVE,true,true,true
PROBE,1900000001,baseline,32,1:4,0,0,1,0,1,0,0,0,0,0,0,0,32,0,32,0,32,0,true,false,29,0,0,0,29,0,4,4,3,29,4,4,MIXED,true,true,true
PROBE,1900000001,baseline,32,1:4,0,90,1,0,1,72,18,72,18,72,18,0,104,18,48,18,26,18,true,true,45,0,0,3,45,-3,4,1,74,48,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,1:4,0,900,1,0,1,720,180,720,180,720,180,0,752,180,207,180,23,180,true,true,45,0,0,3,45,-3,4,1,884,48,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,1:4,0,4500,1,0,1,3600,900,3600,900,3600,900,0,3632,900,933,900,33,900,true,true,45,0,0,3,45,-3,4,1,4484,48,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,1:4,0,9000,1,0,1,7200,1800,7200,1800,7200,1800,0,7232,1800,1833,1800,31,1800,true,true,45,0,0,3,45,-3,4,1,8984,48,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,1:4,0,18000,1,0,1,14400,3600,14400,3600,14400,3600,0,14432,3600,3631,3600,28,3600,true,true,45,0,0,3,45,-3,4,1,17984,48,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,1:1,0,0,1,0,1,0,0,0,0,0,0,0,32,0,32,0,32,0,true,false,29,0,0,0,29,0,4,4,3,29,4,4,MIXED,true,true,true
PROBE,1900000001,baseline,32,1:1,0,90,1,0,1,45,45,45,45,45,45,0,77,45,45,45,34,45,true,true,33,0,0,3,33,-3,4,1,86,36,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,1:1,0,900,1,0,1,450,450,450,450,450,450,0,482,450,145,450,32,450,true,true,33,0,0,3,33,-3,4,1,896,36,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,1:1,0,4500,1,0,1,2250,2250,2250,2250,2250,2250,0,2282,2250,595,2250,30,2250,true,true,33,0,0,3,33,-3,4,1,4496,36,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,1:1,0,9000,1,0,1,4500,4500,4500,4500,4500,4500,0,4532,4500,1155,4500,25,4500,true,true,33,0,0,3,33,-3,4,1,8996,36,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,1:1,0,18000,1,0,1,9000,9000,9000,9000,9000,9000,0,9032,9000,2272,9000,12,9000,true,true,33,0,0,3,33,-3,4,1,17996,36,0,4,INCUMBENT_LOCK,true,true,true
PROBE,1900000001,baseline,32,4:1,0,0,1,0,1,0,0,0,0,0,0,0,32,0,32,0,32,0,true,false,29,0,0,0,29,0,4,4,3,29,4,4,MIXED,true,true,true
